Title,Text
Евровидение-2017 пройдет в Киеве,"Копірайт зображення AFP

Международный песенный конкурс ""Евровидение"", право принять который в следующем году получила Украина, пройдет в Киеве. Об этом на пресс-конференции объявил генеральный директор Национальной телекомпании Украины (НТКУ) Зураб Аласания.

Мероприятие пройдет в Международном выставочном центре, который расположен в Киеве на левом берегу Днепра.

После победы Джамалы на Евровидении в Украине был объявлен конкурс среди украинских городов на право проведения Евровидения-2017.

В финал вышли Киев и Одесса.

В последние дни руководитель НТКУ и мэр города Виталий Кличко заявляли о политизации конкурса на отбор города-хозяина.

""В последние дни между Киевом и Одессой был почти боксерский поединок, решение было непростым"", - заявил министр культуры Евгений Нищук на пресс-конференции.

Кабмин выделил Государственному комитету телевидения и радиовещания 450 млн грн из резервного фонда на проведение Евровидения-2017."
http://reut.rs/2eWLfdf,"Dorothy Kidd

@DorothyKidd1

Radical female who dislikes racists, homophobes, and misogynists. #RWNJ/#LWNJ=blocked. Conservatives with amygdala larger than rest of brain =blocked #HillYes"
Experts Concerned Megaquake Will Soon Strike the Nation as Blood Saturates Entire Islamic Town! (Video),"Experts Concerned Megaquake Will Soon Strike the Nation as Blood Saturates Entire Islamic Town! (Video)

Did you know that Oklahoma was just hit by the largest earthquake ever recorded in the history of the state? And did you know that Oklahoma absolutely shattered their yearly record for earthquakes in 2015 and may break it again this year?

According to the USGS, the number of significant earthquakes in the eastern and central sections of the nation has more than quintupled in recent years, and concern is growing that we could soon see a “megaquake” in the middle part of the country. Of course no discussion of megaquakes in the middle part of the country can leave out the New Madrid fault zone, which is approximately six times larger than the San Andreas fault zone in California. Scientists assure us that the New Madrid fault is around 30 years overdue for a major seismic event, and when it does happen it is going to be the biggest disaster in modern American history up to this point. Late last month, eight states took part in a major drill that simulated what the damage from a New Madrid earthquake might look like. —Prophecy News Watch

FEATURE VIDEO

Concerns Grow About Coming New Madrid Megaquake As Blood Saturates Entire Town

The following comes from a news report that was posted on August 24th:

Eight states are taking part in a multi-state disaster drill Wednesday. Missouri, Kansas, Nebraska, Iowa, Illinois, Tennessee, Kentucky and Arkansas all took part in the “Show Me Mass Care Exercise” to practice how they would react during a major earthquake along the new Madrid Fault Line, which is a major source of earthquakes in the Midwest and south.

The New Madrid fault zone is approximately six times larger than the San Andreas fault zone. But because of the nature of the earth’s crust in the region, a New Madrid earthquake would shake most of the nation. The Missouri Department of Natural Resources stated that earthquakes along the New Madrid fault “shake and damage an area approximately 20 times larger than earthquakes in California”.

Thus, the New Madrid fault zone has respecfully earned the name ‘sleeping giant’.

Back in 1811 and 1812, a series of earthquakes along the New Madrid so powerful occurred that they actually cracked sidewalks all the way in Washington D.C. while ringing church bells in Boston. In fact, reports from eyewitnesses sounds like something straight out of a science fiction movie!

In fact, 8-years-old at the time, Godfrey Lesieur said that he witnessed the ground “rolling in waves.” While another witness, Michael Braunm, observed the river suddenly rise up “like a great loaf of bread to the height of many feet.” And, sections of riverbed beneath the Mississippi rose so high that a portion of the river ran backwards.

“Thousands of fissures ripped open fields, and geysers burst from the earth, spewing sand, water, mud and coal high into the air. In those days not many people lived in the middle of the country. What in the world would such an earthquake look like today?” PNW News

With all of our technology today that we are so dependent upon, what would happen if an earthquake even close to this magnitude struck on the New Madrid fault line?

For the rest of the news, please check out the feature video above and subscribe to Lyn Leahz on YouTube Today — CLICK HERE NOW FOR MORE!

We encourage you to Share our Reports, Analyses, Breaking News and Videos. Simply Click your Favorite Social Media Button and Share."
"At Least 38 Dead, 150 Wounded in Istanbul","At least 29 dead, more than 100 wounded in #Istanbul bombings via @WSJ #BreakingNews #News #Startup #Turkey

2 years ago"
Detienen a Cupido comprando burundanga en el mercado negro,Utilizamos cookies para asegurar que damos la mejor experiencia al usuario en nuestro sitio web. Si continúa utilizando este sitio asumiremos que está de acuerdo.
Detienen a Cupido comprando burundanga en el mercado negro,Utilizamos cookies para asegurar que damos la mejor experiencia al usuario en nuestro sitio web. Si continúa utilizando este sitio asumiremos que está de acuerdo.
Donald Trump Hijacked My Holidays,"It's Christmas, so why am I not brimming with joy?

Since my earliest memories, this time of year has always inspired the warm fuzzies in me. Not so this year. My feelings of joy have been subsumed by contravening feelings of fear, anxiety, and despair.

Last week, First Lady Michelle Obama gave voice to what I was having trouble putting into words: ""We are feeling what not having hope feels like,"" she told Oprah Winfrey on CBS This Morning. The remarks were so simple and straight-forward, and yet they resonated with me so profoundly.

""Hope is necessary,"" she continued. ""It is a necessary concept."" There it was. Mrs. Obama had identified why the run-up to Christmas 2016 felt so different to me from every prior holiday season I can recall.

But why the absence of hope? For me, the obvious answer is Donald J. Trump. In the month and a half since the election, I, like so many Americans, have been inundated by a groundswell of mixed but primarily negative emotions. PTSD, if you will: ""Post-Trump Stress Disorder.""

But these emotions are about much more than Trump the individual. They are related to Trump as an idea — what he and his followers represent. How could so many Americans harbor such regressive, dangerous, and ill-informed ideologies that they were willing to ignore Trump's innumerable ignominies, outright lies, political missteps, flip-flopping, and other scandals and vote him into the highest office in the Free World?

As an American who is black and gay, I experience Trump and his followers as a double existential threat. For me, Trump's win, which CNN commentator Van Jones on Election Night labeled a ""whitelash"" after eight years of progressive policies under President Obama, is a pushback against my very existence as an African-American. On the day after the election, in North Carolina, the state of my birth, Durham residents discovered two graffitied walls, both proclaiming, ""Black lives don't matter and neither does [sic] your votes."" Did this hateful speech encapsulate the sentiment of the majority?

The North Carolina incident was not isolated — in the weeks immediately following Trump's election, hate speech and hate crimes spiked across the United States. After all, the president-elect had been endorsed by former Ku Klux Klan grand wizard David Duke, who stated in an NPR interview, ""I represent the ideas of preserving this country and the heritage of this country, and I think Trump represents that as well.""

The Crusader, the official newspaper of the KKK, ran its presidential endorsement with Trump's campaign slogan ripped verbatim as its banner: ""Make America Great Again."" As though the slogan were in code, the newspaper demystified it for its readers: ""What made America great in the first place? The short answer to that is simple. America was great not because of what our forefathers did — but because of who our forefathers were. America was founded as a White Christian Republic. And as a White Christian Republic it became great.""

Although the Trump campaign repeatedly denounced hate speech and crimes, they indubitably fomented it and trafficked in it and were ultimately the beneficiaries of it. Any denunciation of David Duke or the alt-right now seems merely lip service, and certainly not to the exclusion of any white supremacist votes.

Last week, things further came to a head for me as a queer man when the state of my birth reneged on its promise to repeal an odious anti-LGBT piece of legislation, House Bill 2, which among other grievances forbids transgender people from using restrooms that correspond with their gender identity. The state did so even after the city of Charlotte reversed its local non-discrimination ordinance so as to make way for HB 2's much-needed demise. In last Wednesday's special session, the North Carolina General Assembly made it clear that I would not be going home for the holidays. For LGBT people and their allies, ""North Carolina remains closed for business,"" declared Chad Griffin, president of the Human Rights Campaign.

""HB 2 has put LGBTQ North Carolinians at risk for discrimination and violence. Every single day, we have lost businesses, new residents, tourists, concerts, and sporting events,"" explained Equality NC Executive Director Chris Sgro. ""With HB2 still on the books and the Charlotte Ordinance fully repealed we will only continue to lose businesses and put LGBTQ North Carolinians in harm's way.""

HB 2 is part and parcel of Trump's America. Indeed, earlier this year, as the Department of Justice filed its brief asking a federal judge to halt HB 2's implementation, Trump threw his unmitigated support behind the bill as a matter of states' rights, an argument previously used to promulgate another odious form of discrimination — on the basis of race — in North Carolina and other states for decades. My mother, who desegregated her public school in North Carolina in the 1960s, more than a decade after the Supreme Court's landmark desegregation decision in Brown v. Board of Education, called me to express her outrage at the N.C. General Assembly, Trump, and everyone who fails to grasp these parallels. ""History repeats itself,"" she said.

Earlier this year, Attorney General Loretta Lynch, who like my mom was born and raised in North Carolina in the same time period, stated of HB 2, ""This is not the first time we have seen discriminatory responses to historic moments of progress... We saw it in the Jim Crow laws that followed the Emancipation Proclamation. We saw it in the fierce arguments against Brown v. the Board of Education. And we saw it in the state bans on same-sex unions that were intended to spike any hope that one day gays and lesbians might be afforded the right to marry.""

Analogizing to the days of ""separate but equal,"" Lynch reminded us, ""It was not so very long ago that states, including North Carolina, had signs above restaurants, water fountains, and public accommodations, keeping people out.""

And yet last Wednesday, with all eyes on the North Carolina General Assembly, even after the law has caused a hemorrhage of conferences, sporting events, television and film productions, millions of dollars and hundreds of job, the deal to repeal the law collapsed. Merry Christmas in Trumpland! Vogue's Andre Leon Talley announced he's packing his bags and leaving his home state: ""You make the choice to be in Trumpland or you make the choice to eject yourself from the horror of Trumpland. I’ve made my choice not to be part of Trumpland.""

Between his tweets on ISIS, Israel, and Istanbul, and a clarion call for a nuclear arms race, Trump popped up like a jack-in-the-box behind a podium bearing a ""Merry Christmas USA Thank You Tour 2016 — Make America Great Again"" sign. My stomach lurched. And not just because the sign is intended as a nod to his faithful evangelical base, calling out the liberal establishment for the political correctness of employing ""Happy Holidays"" in our so-called ""War on Christmas."" Rather, Christmas and Trump are now visually yoked in my head. But in my reality Trump, isn't bringing Christmas back to America — he's the Grinch who stole it. And, if we're not vigilant, he'll steal the rights, liberties, protections, and sense of hope that make us American in his demagogic bid to ""Make America Great Again.""

RAN AUBREY FRAZIER is a talent manager at Authentic Talent & Literary Management and a former resident of North Carolina."
Donald Trump Hijacked My Holidays,"It's Christmas, so why am I not brimming with joy?

Since my earliest memories, this time of year has always inspired the warm fuzzies in me. Not so this year. My feelings of joy have been subsumed by contravening feelings of fear, anxiety, and despair.

Last week, First Lady Michelle Obama gave voice to what I was having trouble putting into words: ""We are feeling what not having hope feels like,"" she told Oprah Winfrey on CBS This Morning. The remarks were so simple and straight-forward, and yet they resonated with me so profoundly.

""Hope is necessary,"" she continued. ""It is a necessary concept."" There it was. Mrs. Obama had identified why the run-up to Christmas 2016 felt so different to me from every prior holiday season I can recall.

But why the absence of hope? For me, the obvious answer is Donald J. Trump. In the month and a half since the election, I, like so many Americans, have been inundated by a groundswell of mixed but primarily negative emotions. PTSD, if you will: ""Post-Trump Stress Disorder.""

But these emotions are about much more than Trump the individual. They are related to Trump as an idea — what he and his followers represent. How could so many Americans harbor such regressive, dangerous, and ill-informed ideologies that they were willing to ignore Trump's innumerable ignominies, outright lies, political missteps, flip-flopping, and other scandals and vote him into the highest office in the Free World?

As an American who is black and gay, I experience Trump and his followers as a double existential threat. For me, Trump's win, which CNN commentator Van Jones on Election Night labeled a ""whitelash"" after eight years of progressive policies under President Obama, is a pushback against my very existence as an African-American. On the day after the election, in North Carolina, the state of my birth, Durham residents discovered two graffitied walls, both proclaiming, ""Black lives don't matter and neither does [sic] your votes."" Did this hateful speech encapsulate the sentiment of the majority?

The North Carolina incident was not isolated — in the weeks immediately following Trump's election, hate speech and hate crimes spiked across the United States. After all, the president-elect had been endorsed by former Ku Klux Klan grand wizard David Duke, who stated in an NPR interview, ""I represent the ideas of preserving this country and the heritage of this country, and I think Trump represents that as well.""

The Crusader, the official newspaper of the KKK, ran its presidential endorsement with Trump's campaign slogan ripped verbatim as its banner: ""Make America Great Again."" As though the slogan were in code, the newspaper demystified it for its readers: ""What made America great in the first place? The short answer to that is simple. America was great not because of what our forefathers did — but because of who our forefathers were. America was founded as a White Christian Republic. And as a White Christian Republic it became great.""

Although the Trump campaign repeatedly denounced hate speech and crimes, they indubitably fomented it and trafficked in it and were ultimately the beneficiaries of it. Any denunciation of David Duke or the alt-right now seems merely lip service, and certainly not to the exclusion of any white supremacist votes.

Last week, things further came to a head for me as a queer man when the state of my birth reneged on its promise to repeal an odious anti-LGBT piece of legislation, House Bill 2, which among other grievances forbids transgender people from using restrooms that correspond with their gender identity. The state did so even after the city of Charlotte reversed its local non-discrimination ordinance so as to make way for HB 2's much-needed demise. In last Wednesday's special session, the North Carolina General Assembly made it clear that I would not be going home for the holidays. For LGBT people and their allies, ""North Carolina remains closed for business,"" declared Chad Griffin, president of the Human Rights Campaign.

""HB 2 has put LGBTQ North Carolinians at risk for discrimination and violence. Every single day, we have lost businesses, new residents, tourists, concerts, and sporting events,"" explained Equality NC Executive Director Chris Sgro. ""With HB2 still on the books and the Charlotte Ordinance fully repealed we will only continue to lose businesses and put LGBTQ North Carolinians in harm's way.""

HB 2 is part and parcel of Trump's America. Indeed, earlier this year, as the Department of Justice filed its brief asking a federal judge to halt HB 2's implementation, Trump threw his unmitigated support behind the bill as a matter of states' rights, an argument previously used to promulgate another odious form of discrimination — on the basis of race — in North Carolina and other states for decades. My mother, who desegregated her public school in North Carolina in the 1960s, more than a decade after the Supreme Court's landmark desegregation decision in Brown v. Board of Education, called me to express her outrage at the N.C. General Assembly, Trump, and everyone who fails to grasp these parallels. ""History repeats itself,"" she said.

Earlier this year, Attorney General Loretta Lynch, who like my mom was born and raised in North Carolina in the same time period, stated of HB 2, ""This is not the first time we have seen discriminatory responses to historic moments of progress... We saw it in the Jim Crow laws that followed the Emancipation Proclamation. We saw it in the fierce arguments against Brown v. the Board of Education. And we saw it in the state bans on same-sex unions that were intended to spike any hope that one day gays and lesbians might be afforded the right to marry.""

Analogizing to the days of ""separate but equal,"" Lynch reminded us, ""It was not so very long ago that states, including North Carolina, had signs above restaurants, water fountains, and public accommodations, keeping people out.""

And yet last Wednesday, with all eyes on the North Carolina General Assembly, even after the law has caused a hemorrhage of conferences, sporting events, television and film productions, millions of dollars and hundreds of job, the deal to repeal the law collapsed. Merry Christmas in Trumpland! Vogue's Andre Leon Talley announced he's packing his bags and leaving his home state: ""You make the choice to be in Trumpland or you make the choice to eject yourself from the horror of Trumpland. I’ve made my choice not to be part of Trumpland.""

Between his tweets on ISIS, Israel, and Istanbul, and a clarion call for a nuclear arms race, Trump popped up like a jack-in-the-box behind a podium bearing a ""Merry Christmas USA Thank You Tour 2016 — Make America Great Again"" sign. My stomach lurched. And not just because the sign is intended as a nod to his faithful evangelical base, calling out the liberal establishment for the political correctness of employing ""Happy Holidays"" in our so-called ""War on Christmas."" Rather, Christmas and Trump are now visually yoked in my head. But in my reality Trump, isn't bringing Christmas back to America — he's the Grinch who stole it. And, if we're not vigilant, he'll steal the rights, liberties, protections, and sense of hope that make us American in his demagogic bid to ""Make America Great Again.""

RAN AUBREY FRAZIER is a talent manager at Authentic Talent & Literary Management and a former resident of North Carolina."
Log In or Sign Up,"By clicking Sign Up, you agree to our Terms, Data Policy and Cookies Policy. You may receive SMS Notifications from us and can opt out any time."
rgn.bz,[]
Getting to Know the Real Matthew Shepard,"Getting to Know the Real Matthew Shepard

Shepard's father and the director of a new documentary talk about why it's important that we remember him.

1998 doesn’t seem that long ago, but in many ways the world was different. For one thing, there was no Facebook, no Twitter, no Instagram, no YouTube — but one young man’s story caught the attention of the nation in a way that today would be called “going viral.”

The young man was Matthew Shepard, a 21-year-old gay college student who was viciously beaten by two men he’d met in a bar and left hanging on a fence on the outskirts of Laramie, Wyo., then died a few days later at a hospital in Fort Collins, Colo. His death increased the awareness of antigay hate crimes and became a rallying point for supporters of LGBT-inclusive hate-crimes laws and other gay rights measures.

The new documentary film Matt Shepard Is a Friend of Mine, produced and directed by Matthew’s onetime schoolmate Michele Josue, seeks to let audiences know there were so many things important about Matthew beyond the way he died — and also to make sure that his life and death are not forgotten.

“The young people in the gay community today are having freedoms that he never had,” says his father, Dennis Shepard, on a recent visit to Los Angeles for the film’s opening. “They don’t understand that, especially the very young people, because they don’t know who Matt was. People from 12 on are the activists today.”

Matthew, his father says, would be amazed to see the advances in LGBT rights that have taken place since his death. Among those are the Matthew Shepard and James Byrd, Jr. Hate Crimes Prevention Act, signed into law by President Obama in 2009, which commits federal resources to investigate and prosecute crimes motivated by the victim’s actual or perceived sexual orientation, gender identity, race, religion, gender, and other factors. Judy Shepard, Matthew’s mother, worked tirelessly to get the law passed, her husband notes.

Then there are advances in marriage equality, state-level antidiscrimination laws, the proliferation of gay-straight alliances in schools, and more. Also, Dennis Shepard says, “He would just be thrilled to see how open and relaxed the young people are. They just don’t understand what the issue is” with being gay.

But other factors — the persistence of homophobia among some segments of the population, the need to pass federal nondiscrimination protections, and the backlash against LGBT progress, with “license to discriminate” laws and calls to defy pro-equality court rulings — make it crucial to remember Matthew’s story, say his father and the filmmaker.

“It’s important for people to kind of reengage with the outrage we all had then,” says Josue. “Matt’s story is not unique … there are a lot of Matt Shepards out there who still need support and validation.”

Some observers have wondered why Matthew’s death resonated with the public so much more than any other homophobic hate crime. To Josue, “The egregiousness of the crime … created such a haunting image that still stays with people and affects people all these years later.”

That’s part of it, says his father, plus Matthew’s everyman quality — he was a young man of many interests, who loved hunting and fishing as well as theater and politics, who was intelligent and multilingual, who made friends easily. “Somebody everywhere could relate to a part of him,” Dennis Shepard says.

There are those who wonder, though, if his death commanded attention partly because he was a white, attractive, middle-class college student, not, say, a black transgender sex worker. To this, Josue responds, “Matt never asked to be the face of the gay rights movement, but for whatever reason, he is. And if it sheds some light on what’s happening to others, in the trans community as well, so be it.”

And before he became the face of a movement, he was a son, a brother, a friend, and that’s what Josue wants to show the world through her film. “He changed me in many ways,” says the filmmaker, who attended school in Switzerland with Matthew when his family was living in Saudi Arabia because of Dennis’s job (there was no high school for Matthew to attend there). “He taught me what it is to be a true friend. He was so extroverted and just truly loved people. He never met a stranger. I looked up to him and how he treated other people. In his death I couldn’t reconcile how something so horrible could happen to such a tenderhearted and kind person. It taught me to be a better ally and just stand up for all the Matt Shepards out there.”

The film recounts Matthew’s experiences at the school, his earlier years in Casper, Wyo., and some of the darker times of his life, as when, after being sexually assaulted while traveling in Morocco, he went into a period of depression and isolation, his gregariousness diminished.

Both of Shepard’s parents appear in the movie, as do many other people who knew him. Talking about Matthew was sometimes painful for them, Josue says, “but I think everyone, all his close friends, his teachers, his family were all very willing to share the Matt that we remembered and that we cherished.”

She adds, “I often compare it to reopening some very old wounds that never healed properly. So there’s a lot of tears, of course, but you know, there are also some really joyful moments when we were able to reminisce and remember little things about Matt that we had forgotten over time.”

Matthew’s brother, Logan, who is now 34, declined to participate in the film. “He’s very introverted like Judy and he’s more of an advocate behind the scenes,” Dennis Shepard says, adding that Logan is deeply involved with antibullying efforts and all the work of the Matthew Shepard Foundation, set up by the family to advocate for LGBT equality through a variety of programs.

The film, Dennis notes, is very honest. He says it’s one of four accounts of Matthew’s life and death that are totally honest, the others being Judy’s book, The Meaning of Matthew, and the plays The Laramie Project and its sequel, The Laramie Project: Ten Years Later. He and Josue dismiss as “totally bogus” the accounts that claim Matthew’s murder was not motivated by his killers’ homophobia but was instead the result of a drug deal gone bad. “We just ignore it because those who want to believe something that strange and odd will believe it,” he says.

Part of the movie’s honesty, he says, is making clear that Matthew “had failures and successes like everybody else.” He continues, “I think it’s important for young people to know that you’ll have good times and bad times.” The knowledge that some young people despair over the bad times to the point of suicide, he says, “just scares me to death.”

He and his wife, with their son and other allies, are working hard to keep other young LGBT people from despairing. One of the foundation’s projects is Matthew’s Place, an online community for LGBT youth, many of whom find little support in their families or schools.

Dennis and Judy’s work also includes visiting schools — this spring they’ll be talking to junior high students in San Francisco who are reading The Laramie Project — and, under the aegis of the U.S. State Department, traveling overseas to speak about Matthew and LGBT rights. They’ve been to 18 countries to date.

In a way, that effort is carrying out one of Matthew’s ambitions. “His goal was to go out and improve the world,” Dennis says. “He really loved this country and he thought those ideals should be taken everywhere.”

And continuing to tell his story, as through Matt Shepard Is a Friend of Mine, is important to any effort to improve the world for LGBT people, his father says. That the film will be edited into an educational version for schools is just critical,” he says. Young people, he explains, “need to understand that they’re standing on the shoulders of what Matt did, what happened to Matt, who is standing on the shoulders of what happened to Harvey Milk, who was standing on the shoulders of Stonewall.”

“History repeats itself,” he adds, “unless you educate and teach. And I think that’s what this film does.”

Matt Shepard Is a Friend of Mine is playing in theaters around the country. Click here to find a screening near you, and watch the trailer below.

"
"For your retirement planning, count on living until age 95","CLOSE According to a study by the Employee Benefit Research Institute, 65.4% of American families with heads of household 55 and older held debt in 2013. USA TODAY

Planning for how long your nest egg needs to last is a difficult one. (Photo: Thinkstock)

If you knew your date of death, retirement planning would be a breeze.

Unfortunately — or maybe fortunately? — you don't. And that can make planning for retirement extremely difficult. Does your nest egg need to last 20 years? 30 years? 40 years? And what about couples? How should couples go about planning for the likelihood that one spouse — usually the husband — predeceases the other?

Well, if you’re like most people, you’re guessing at this, and guessing quite wrong.

“Many people do not understand longevity well, and those people who plan often do not plan for long enough,” says Anna Rappaport, president of a retirement consulting firm bearing her name and chair of the Society of Actuaries (SOA) Committee on Post-Retirement Needs and Risks.

Noel Abkemeier is the founder of Abkemeier Actuarial and chair of the American Academy of Actuaries Lifetime Income Task Force. (Photo: Handout)

Becoming familiar with current life-expectancy statistics is the first order of business. “There are two aspects to addressing longevity,” says Noel Abkemeier, the founder of Abkemeier Actuarial and chair of the American Academy of Actuaries Lifetime Income Task Force. “First, understanding it, and then planning an income that will last throughout life.”

You may live much longer than you think. ""There have been significant improvements in how long people survive in retirement, especially for wealthier Americans,” says David Blanchett, head of retirement research at Morningstar Investment Management.

Consider: Someone born in 1950 was expected to live to age 68.2. By contrast, someone born in 2014 was expected to live to age 78.8, according to the Centers for Disease Control and Prevention. In other words, someone born today will need to fund an extra 10 years of retirement vs. someone born 66 years ago.

What’s more, life expectancy for those alive at age 65 has also increased dramatically. In 1950, a 65-year-old male could expect to live another 12.8 years. In 2014, a 65-year-old male could expect to live on average of 18 more years. The same is true for women. In 1950, a 65-year-o woman could expect to live another 15 years. By 2014, a 65-year-old woman could expect to live another 20.5 years.

The Actuaries Longevity Illustrator can give you a good sense of how long you might live. Another resource is the Living to 100 life expectancy calculator.

Financial advisers are starting to change assumptions about how long clients will live to make sure they don't outlive savings, according to a survey by InvestmentNews. Advisers are basing retirement-income plans on an average life span of 91 for men and 94 for women, according to the survey.

“Many people do not understand longevity well,” says Anna Rappaport, chair of the Society of Actuaries (SOA) Committee on Post-Retirement Needs and Risks. (Photo: Anna Rappaport Consulting)

Consider the probabilities. One drawback with using life expectancy to plan for retirement is that it’s just an average. One-half will die before life expectancy, and the other half after. So, the better way to approach the problem is to consider the probability of living to certain ages.

Consider: There’s a 25% chance that a 65-year-old man will live to 93; a 25% chance that a 65-year-old woman will live to 96; and for a couple 65 years old, there’s a 25% chance that the surviving spouse lives to 98, according to SOA projections.

All that said, Blanchett still thinks it makes more sense for people (and planners) to use a fixed time horizon, such as planning to age 95.

Couples should consider their combined planning timeline. For couples who are 65 today, there’s a 45% chance that a wife outlives her husband by five years and a 20% chance by 15 years, according to the SOA. “Don’t forget that assets need to last until the second to die for couples,” says Rappaport.

Consider your genes and behavior. “Some factors that influence how long you live may be beyond your control,” according to the SOA. “Others depend upon the choices you make every day. A successful retirement plan will address both.”

How will you manage longevity risk? There are some time-honored ways to deal with the risk of outliving your assets. Those include the use of annuities, a sound asset-drawdown plan, delaying Social Security to age 70 for the higher wage earner, and a reverse mortgage. Read Managing Post-Retirement Risks - A Guide to Retirement Planning.

Remember, says Abkemeier, half of retirees will live longer (than life expectancy) and, to build in a cushion, individuals should plan for an additional five or more years when considering lifetime income.

Robert Powell is editor of Retirement Weekly, contributes regularly to USA TODAY, The Wall Street Journal and MarketWatch. Got questions about money? Email Bob at rpowell@allthingsretirement.com.

CLOSE A Government Accountability Office report cited five common mistakes people make when applying for Social Security. WIBBITZ

Read or Share this story: http://usat.ly/2dJ0dTv"
SoftBank Builds Fortress for the Future,"SoftBank isn’t a bank. But it sure is trying hard to become a financial juggernaut.

The Japanese technology giant said Tuesday it has agreed to buy Fortress Investment Group, a New York-listed investment firm for $3.3 billion in cash A head scratcher perhaps—a technology conglomerate buying an asset manager—but not totally surprising coming from Masayoshi Son, SoftBank’s chairman who is known for his bold deal-making and uncanny business acumen.

..."
"Somini Sengupta on Twitter: ""Meanwhile, a famine in SouthSudan that didn't have to happen. https:","Tweet with a location

You can add location information to your Tweets, such as your city or precise location, from the web and via third-party applications. You always have the option to delete your Tweet location history. Learn more"
Siapakah Alicia Machado yang mengaku diolok 'Miss Piggy' oleh Trump?,"Hak atas foto AP Image caption Alicia Machado terpilih sebagai Miss Universe pada 1996 dan mengklaim diolok oleh Trump.

Seorang mantan Miss Universe menjadi topik dalam debat pertama calon presiden Amerika Serikat dari Partai Republik Donald Trump dan Partai Demokrat Hillary Clinton.

Dalam debat pertama calon presiden Amerika Serikat ini, Clinton menuduh Trump memperlakukan perempuan dengan sangat buruk termasuk klaim bahwa ia pernah menghina Alicia Machado dengan menyebutnya ""Miss Piggy"" (Nona Babi) setelah berat badannya naik menyusul kontes ratu kecantikan itu.

Clinton juga mengatakan Trump pernah menyebut Miss Universe 1996 yang lahir di Venezuela itu sebagai ""Miss Housekeeping"" (Nona Rumah Tangga).

Trump yang saat itu termasuk pemilik perusahaan yang menyelenggarakan Miss Universe juga dilaporkan menyebutnya ""mesin makan"".

Machado muncul dalam video kampanye Clinton setelah debat Senin (26/09).

Debat pertama calon presiden Amerika Serikat ini dikicaukan sekitar lima juta kali dan 62% di antaranya tentang Trump.

Image caption ""Terima kasih Hillary Clinton telah menyebut saya dalam debat.""

Machado melakukan diet pada 1997 setelah mengatakan ia bertambah berat badannya. Trump mengatakan dalam satu acara bahwa ""ia suka makan, seperti kita semua"" dan mendukung upaya dietnya dengan meminta Machado melakukan senam di depan pers.

Di sela tiap menit

Dalam debat yang berlangsung panas, Clinton menegur Trump yang tidak menyebut nama mantan ratu kecantikan ini dengan mengatakan, ""Donald, dia punya nama. Namanya Alicia Machado dan dia telah menjadi warga negara Amerika Serikat, dan dia akan ikut memilih pada bulan November ini,"" kata Clinton.

Image caption Machado mengatakan secara terbuka ia akan memilih Clinton dalam pemilihan presiden.

Trump meminta rincian lebih lanjut tentang tuduhan itu namun tidak segera menyanggahnya.

Melalui akun Twitternya, Machado menyatakan ""Terima kasih kepada Clinton karena telah menyebut saya dalam debat.""

Ia juga menulis, ""Saya telah menerima paspor saya! Saya siap untuk memilih bagi negara saya, untuk Anda @HillaryClinton, untuk putri saya, untuk pekerja perempuan.""

Dalam debat pertama ini, cara Trump menghadapi saingan perempuannya ini juga banyak dikomentari, terutama terkait berapa kali ia melakukan interupsi.

Trump pertama kali menginterupsi Clinton dan melakukannya hampir tiap menit dalam 25 menit pertama, menurut data oleh Vox.

""Salah, salah, salah,"" kata Trump dalam salah satu tanggapan dan dalam satu kesempatan sempat menceletuk ""tidak.""

Image caption ""Clinton menghadapi interupsi setiap .0007 detik dengan sangat bagus. Perempuan tampaknya terbiasa, laki-laki mencoba menyalip.

Secara total, Vox mengatakan Clinton menginterupsi 17 kali sementara Trump 51 kali.

""Seorang calon pria tak boleh terlihat menakut-nakuti seorang perempuan,"" kata Jennifer Lawless, profesor pada Schoold of Public Affairs, American University.

""Apakah itu dengan lambaian tangan atau mendengus atau dengan gerakan mata, itu dapat dianggap sikap superioritas, karena dia adalah perempuan.""

Sementara Clinton sendiri tampaknya tegas dan tidak membiarkan Trump untuk menginterupsinya."
